title,artist,category,image_file,lev_bas,lev_adv,lev_exp,lev_mas,lev_remas,version
アウターサイエンス,じん,niconico＆VOCALOID™,b0ce56a34d3e72dc.png,5,7,11+,12+,,MiLK
アディショナルメモリー,じん,niconico＆VOCALOID™,4845db8b27fd2f65.png,4,6,9+,12,,maimaiDX
砂の惑星 feat. HATSUNE MIKU,ハチ,niconico＆VOCALOID™,d9da71418f642af6.png,4,6,9+,12+,,MiLK
ドーナツホール,ハチ,niconico＆VOCALOID™,98a835418650545d.png,5,6,10+,13+,,MiLK
マトリョシカ,ハチ,niconico＆VOCALOID™,311d40df8438952a.png,5,7+,8+,11,12+,maimai
パンダヒーロー,ハチ,niconico＆VOCALOID™,435c43a8153c239a.png,5,6,8+,11+,,maimai
WORLD'S END UMBRELLA,ハチ,niconico＆VOCALOID™,e0f1089623f573d3.png,4,7,9,12,,FiNALE
結ンデ開イテ羅刹ト骸,ハチ,niconico＆VOCALOID™,f45c9659d4bbf662.png,4,7,9+,11,13,FiNALE
ゴーゴー幽霊船,米津玄師,niconico＆VOCALOID™,b4c2df0b003d74e2.png,4,7,10,12,,maimai PLUS
アンノウン・マザーグース,wowaka,niconico＆VOCALOID™,5140f70bbc88cc99.png,4,6,10,12+,,MiLK
アンハッピーリフレイン,wowaka,niconico＆VOCALOID™,0b3097b182ae0642.png,5,7,10+,13,,ORANGE
裏表ラバーズ,wowaka,niconico＆VOCALOID™,1c9f188e15b13d2b.png,5,7,11,13+,,GreeN
ローリンガール,wowaka,niconico＆VOCALOID™,35c7bf45db2cc050.png,4,6,8+,12+,,GreeN
ワールズエンド・ダンスホール,wowaka,niconico＆VOCALOID™,7d63f55a93c01564.png,5,7,8+,12,13,maimai
ゴーストルール,DECO*27,niconico＆VOCALOID™,1c389ba08db6c6f4.png,3,7+,9+,12+,,maimaiDX 2022
モザイクロール,DECO*27,niconico＆VOCALOID™,813d4e599de416c0.png,3,6,10,13,,maimaiDX 2023
ありふれたせかいせいふく,ピノキオピー,niconico＆VOCALOID™,dc8f146a69069b71.png,4,6,8+,13,,PiNK
腐れ外道とチョコレゐト,ピノキオP,niconico＆VOCALOID™,9a0626b85cbf4c24.png,6,8,11+,13,,maimai PLUS
#NAME?,ギガ/れをる　ダンス　アルスマグナ,niconico＆VOCALOID™,a565687e7a656aab.png,5,7,9,12+,,PiNK
セツナトリップ,Last Note.,niconico＆VOCALOID™,4cdf81639751cc7f.png,2,7+,10+,13,,maimaiDX 2023
放課後ストライド,Last Note.,niconico＆VOCALOID™,3fb5811ff9f8780a.png,4,7,9+,12+,,GreeN
